@relation WCR_original-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute ' forum_id' numeric
@attribute ' posted_time' numeric
@attribute ' deleted' numeric
@attribute ' approved' numeric
@attribute ' unresolved' numeric
@attribute ' anonymous' numeric
@attribute ' title_has_lecture' numeric
@attribute ' title_has_quiz_assignment_grade_project' numeric
@attribute ' posts_count_request' numeric
@attribute ' posts_count_thanks' numeric
@attribute ' posts_countLogistics' numeric
@attribute ' posts_count_problems' numeric
@attribute ' meanposttimes' numeric
@attribute ' varposttimes' numeric
@attribute ' meanDiffFromLandmarks' numeric
@attribute ' numStudentOnlyPostsVotes' numeric
@attribute ' last_updated_time_StudentPostsOnly' numeric
@attribute instructor_replied {0,1}
@attribute ' numStudentPostsOnly' numeric

@data
15,1361993722,0,0,0,0,0,0,0,0,0,0,1360000000,15800000000,124707.5714,0,1360000000,0,7
13,1361993808,0,0,0,0,0,0,0,0,2,0,1360000000,0,3155,0,1360000000,0,1
15,1361995459,0,0,0,0,0,0,0,0,0,0,1360000000,0,4806,0,1360000000,0,1
15,1361996048,0,0,0,0,0,0,0,0.4,0.4,0,1360000000,140000000000,33662.8,3,1360000000,0,5
15,1361998454,0,0,0,0,0,0,0,0,1,0,1360000000,0,7801,0,1360000000,0,1
15,1361998548,0,0,0,0,0,0,0,0,0,0,1360000000,0,7895,0,1360000000,0,1
14,1362001144,0,0,0,0,0,0,0,0,0,0,1360000000,14600000000,147767.3333,2,1360000000,0,3
15,1362002567,0,0,0,0,0,0,0,0,0,0,1360000000,0,11914,0,1360000000,0,1
15,1362004306,0,0,0,0,0,0,0,0,0,0,1360000000,112896,13989,0,1360000000,0,2
15,1362005736,0,0,0,0,0,0,0,0,0,0,1360000000,281000000000,123441.5,2,1360000000,0,4
14,1362005801,0,0,0,0,0,0,0,0,0,0,1360000000,95300000000,241260.3333,4,1360000000,0,9
9,1362009781,0,0,1,0,0,0,0,0,1.666667,0.333333,1360000000,522843.5556,19792.66667,0,1360000000,0,3
13,1362010189,0,0,0,0,0,0,0,0,0.6,0.2,1360000000,20100000000,181770.2,8,1360000000,0,5
15,1362015911,0,0,0,0,0,0,0,0,0,0,1360000000,212000000000,64091,2,1360000000,0,3
13,1362015958,0,0,0,0,0,0,0,0.24,0.4,0,1360000000,146000000000,158391,18,1360000000,0,25
