@relation GHC_original-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute ' forum_id' numeric
@attribute ' posted_time' numeric
@attribute ' deleted' numeric
@attribute ' approved' numeric
@attribute ' unresolved' numeric
@attribute ' anonymous' numeric
@attribute ' title_has_lecture' numeric
@attribute ' title_has_quiz_assignment_grade_project' numeric
@attribute ' posts_count_request' numeric
@attribute ' posts_count_thanks' numeric
@attribute ' posts_countLogistics' numeric
@attribute ' posts_count_problems' numeric
@attribute ' meanposttimes' numeric
@attribute ' varposttimes' numeric
@attribute ' meanDiffFromLandmarks' numeric
@attribute ' numStudentOnlyPostsVotes' numeric
@attribute ' last_updated_time_StudentPostsOnly' numeric
@attribute instructor_replied {0,1}
@attribute ' numStudentPostsOnly' numeric

@data
15,1367675260,0,0,0,0,0,0,0,0,0,0,1370000000,0,137480,0,1370000000,0,1
14,1367683302,0,0,0,0,1,0,0,0,1,0,1370000000,17300000,125273,0,1370000000,1,2
2,1367696752,0,0,0,0,0,0,0,0,0.48,0.08,1370000000,22200000000,124387.52,-2,1370000000,0,25
15,1367705438,0,0,0,0,0,0,0,0,6,0,1370000000,0,107302,0,1370000000,0,1
14,1367706856,0,0,0,0,0,1,0,0.166667,0.666667,0,1370000000,2740000000,83836.16667,0,1370000000,0,6
2,1367714992,0,0,0,0,0,0,0,0,0,0,1370000000,0,97748,1,1370000000,0,1
12,1367724287,0,0,0,0,0,0,0,0.4,0,0,1370000000,54100000000,195434.8,0,1370000000,0,5
15,1367729191,0,0,0,0,1,0,0,0,1.5,0.5,1370000000,32800000,77824,1,1370000000,0,2
12,1367729936,0,0,0,0,0,0,0,0,0,0,1370000000,478864,82112,1,1370000000,0,2
14,1367756724,0,0,0,0,0,0,0,0.857143,0.714286,0.285714,1370000000,99300000,41321.57143,3,1370000000,1,7
2,1367764216,0,0,0,0,0,0,0,0,0,0,1370000000,17700000000,83950.6,10,1370000000,0,5
3,1367764363,0,0,1,0,0,1,0,0,3.25,0,1370000000,87400000,37311,0,1370000000,0,4
2,1367772868,0,0,0,1,0,0,0,0,0,0,1370000000,706000000,26568.5,0,1370000000,0,2
2,1367784201,0,0,0,0,0,0,0,0,0.285714,0.142857,1370000000,2210000000,46970.85714,4,1370000000,0,7
12,1367785032,0,0,0,0,0,0,0,0,0,0,1370000000,4044121,25697,0,1370000000,0,2
12,1367792013,0,0,0,0,0,0,0,0,2,0,1370000000,0,20727,1,1370000000,0,1
14,1367807440,0,0,0,0,0,0,0,0,0.666667,0,1370000000,4427333.556,2907.666667,5,1370000000,0,3
2,1367812609,0,0,0,0,0,0,0,0.125,0.25,0,1370000000,287000000000,175516.875,3,1370000000,0,8
7,1367815115,0,0,1,0,1,1,0,0,2.5,0.5,1370000000,61256.25,2622.5,0,1370000000,0,2
15,1367815617,0,0,0,0,0,0,0,0,2,0,1370000000,0,2877,8,1370000000,0,1
3,1367815863,0,0,1,0,0,0,0,0,1.4,0,1370000000,124000000,24116,4,1370000000,0,5
15,1367817559,0,0,0,1,0,1,0,0,3,1,1370000000,0,4819,1,1370000000,1,1
15,1367821269,0,0,0,0,1,0,0,0.5,2.25,0.75,1370000000,77400000000,42476.5,9,1370000000,0,4
7,1367821562,0,0,1,0,1,0,0,0,0,1,1370000000,0,8822,1,1370000000,0,1
15,1367823676,0,0,0,0,0,0,0,0,0.666667,0,1370000000,190000000,41383.66667,31,1370000000,1,6
7,1367826745,0,0,1,0,0,0,0,0.277778,0.777778,0.055556,1370000000,596000000,50394.38889,59,1370000000,1,18
3,1367829082,0,0,1,0,0,1,0,0,6,0.5,1370000000,16200000,20366.5,0,1370000000,1,2
7,1367832507,0,0,1,0,0,1,0,0,4,0.5,1370000000,28000000,25062,0,1370000000,0,2
15,1367838285,0,0,0,1,0,0,0,0,1.4,0.6,1370000000,43600000,33966.8,3,1370000000,0,5
9,1367840853,0,0,1,0,0,0,0,0.5,1,1,1370000000,11236,28219,0,1370000000,0,2
12,1367841028,0,0,0,0,0,0,0,0,0,0,1370000000,0,28288,0,1370000000,0,1
14,1367843385,0,0,0,0,0,0,0,0,1.5,0,1370000000,69400000000,125376,-1,1370000000,0,2
2,1367846426,0,0,0,0,0,0,0,0.5,0.5,0,1370000000,411522.25,34327.5,2,1370000000,0,2
2,1367848635,0,0,0,1,0,0,0,0,0,0,1370000000,0,35895,0,1370000000,0,1
15,1367849575,0,0,0,0,0,0,0,0,0,0,1370000000,1958600.25,38234.5,0,1370000000,0,2
3,1367849774,0,0,1,1,0,0,0.25,0,0.25,0,1370000000,15900000000,124563,13,1370000000,0,8
15,1367851028,0,0,0,0,0,0,0,0.142857,0.714286,0.142857,1370000000,180000000000,111535.8571,5,1370000000,0,7
9,1367852302,0,0,1,0,0,1,0,0,2,0.75,1370000000,30500000,45078.5,0,1370000000,0,4
12,1367853176,0,0,0,1,0,0,0,0,1,0,1370000000,650000000000,91578.5,0,1370000000,0,4
15,1367857051,0,0,0,0,0,0,0,0,1,0,1370000000,0,44311,0,1370000000,0,1
15,1367857720,0,0,0,0,1,0,0,0.5,0,0,1370000000,1102500,46030,0,1370000000,0,2
15,1367859531,0,0,0,0,0,0,0,0,0,0,1370000000,10200000000,128440.8333,6,1370000000,0,6
2,1367860952,0,0,0,0,0,0,0,0.32,0.56,0,1370000000,150000000000,125918.8,137,1370000000,0,25
12,1367861268,0,0,0,0,0,0,0,0,0,0,1370000000,5620000000,154587,0,1370000000,0,3
9,1367870496,0,0,1,0,0,1,0,0,2,1.666667,1370000000,113000000,72780.33333,2,1370000000,1,3
7,1367876402,0,0,1,0,0,0,0,0,0.666667,0,1370000000,82300000,76293.66667,-1,1370000000,0,3
15,1367878390,0,0,0,0,0,0,0,0,1,0,1370000000,489872.6667,66313,0,1370000000,0,3
3,1367878421,0,0,1,0,0,0,0,0.052632,1.578947,0,1370000000,43100000000,159595.0526,22,1370000000,0,19
9,1367878998,0,0,1,1,0,0,0,0,0,1.333333,1370000000,223000000000,141840,8,1370000000,0,3
2,1367879009,0,0,0,1,0,0,0,0.058824,0.529412,0.058824,1370000000,1690000000,141480.8235,2,1370000000,0,17
15,1367880315,0,0,0,0,1,0,0,0.333333,1.666667,0,1370000000,6770930.889,70863.66667,8,1370000000,0,3
7,1367890929,0,0,1,1,0,0,0,0,2,0,1370000000,0,78189,0,1370000000,0,1
15,1367892180,0,0,0,0,0,0,1,0,3,2,1370000000,0,79440,0,1370000000,0,1
12,1367898314,0,0,0,0,0,0,0,0,0,0,1370000000,0,85574,0,1370000000,0,1
3,1367907513,0,0,1,0,0,0,0,0.095238,0.571429,0,1370000000,465000000000,152109.8571,51,1370000000,0,21
2,1367912215,0,0,0,0,0,1,0,0,2.25,0.25,1370000000,17200000000,171541,0,1370000000,0,4
12,1367917160,0,0,0,0,0,0,0,0,0,0,1370000000,54900000000,154520.5,2,1370000000,0,2
15,1367928739,0,0,0,0,0,0,0,0,1,1,1370000000,0,115999,1,1370000000,1,1
2,1367950233,0,0,0,0,0,0,0,0,0,0,1370000000,1350000000,170799.3333,1,1370000000,0,3
9,1367952260,0,0,1,0,0,0,0,0,3.25,0.25,1370000000,1101676.5,140453,1,1370000000,0,4
12,1367952524,0,0,0,0,0,0,0,0,0,0,1370000000,0,139784,0,1370000000,0,1
2,1367960654,0,0,0,0,0,0,0,1.581818,0.345455,0.018182,1370000000,582000000000,166194.5455,238,1370000000,0,55
9,1367964764,0,0,1,0,0,1,0,0,5,1,1370000000,0,152024,1,1370000000,1,1
12,1367969992,0,0,0,0,0,0,0,0,0,0,1370000000,177000000000,183972.5,0,1370000000,0,2
12,1367974612,0,0,0,0,0,0,0,0,0,0,1370000000,238000000,177298,0,1370000000,0,2
3,1367992872,0,0,1,0,0,0,0,0.5,0.5,0,1370000000,51200000000,162509,0,1370000000,0,2
15,1368027622,0,0,0,1,0,0,0,0,0.666667,0,1370000000,6820000000,292437,2,1370000000,0,3
2,1368028336,0,0,0,0,0,0,0,0.181818,0.272727,0,1370000000,6720000000,286754,13,1370000000,0,11
12,1368028937,0,0,0,1,0,0,0,0,0,0,1370000000,0,216197,0,1370000000,0,1
7,1368032972,0,0,1,0,0,2,0.076923,0.153846,1.538462,0.230769,1370000000,535000000000,231773.5385,41,1370000000,1,13
2,1368038407,0,0,0,0,0,0,0,0,0.333333,0,1370000000,1140000000,250113.6667,0,1370000000,0,3
7,1368041677,0,0,1,0,0,0,0,0,0,0,1370000000,0,228937,3,1370000000,0,1
12,1368044518,0,0,0,0,0,0,0,0,0,0,1370000000,0,231778,0,1370000000,0,1
12,1368045428,0,0,0,0,0,0,0,0,0,0,1370000000,147000000000,221713.5,0,1370000000,0,2
9,1368060856,0,0,1,0,0,0,0,0,1,1,1370000000,0,248116,0,1370000000,1,1
12,1368065868,0,0,0,0,0,0,0,0,0,0,1370000000,368000000,272310,0,1370000000,0,2
3,1368066148,0,0,1,0,0,1,0,0,1,0,1370000000,285690.25,253942.5,0,1370000000,1,2
2,1368078008,0,0,0,0,0,0,0,0,0,1,1370000000,0,265268,0,1370000000,0,1
12,1368088877,0,0,0,0,0,0,0,0,0,0,1370000000,0,276137,-1,1370000000,0,1
2,1368092173,0,0,0,1,0,0,0,0.666667,0,0,1370000000,94600000,288552,0,1370000000,0,3
15,1368117613,0,0,0,0,0,0,0,0,0,0,1370000000,85208.66667,305282,4,1370000000,0,3
12,1368127072,0,0,0,0,0,0,0,0,0,0,1370000000,0,314332,1,1370000000,0,1
2,1368143705,0,0,0,0,0,1,0,0,1,0,1370000000,142884,331343,0,1370000000,0,2
7,1368153430,0,0,1,0,1,0,0,0,3,0,1370000000,359000000,359640,0,1370000000,0,2
7,1368153535,0,0,1,0,1,0,0,0,2,0.5,1370000000,361000000,359803,0,1370000000,0,2
2,1368158546,0,0,0,0,0,0,0,0,0,0,1370000000,0,345806,1,1370000000,0,1
15,1368160133,0,0,0,0,0,0,0,0,0,0,1370000000,1930000000,344280.3333,0,1370000000,0,3
2,1368163482,0,0,0,0,0,0,0,0,0,0,1370000000,0,350742,0,1370000000,0,1
2,1368174195,0,0,0,0,0,1,0,0,4,0,1370000000,0,361455,0,1370000000,0,1
2,1368186235,0,0,0,0,0,0,0,0,0,0,1370000000,0,373495,0,1370000000,0,1
2,1368193942,0,0,0,0,0,0,0,1,0,0,1370000000,40900000,382402,0,1370000000,0,2
2,1368204832,0,0,0,0,0,0,0,0,3,0,1370000000,0,385508,0,1370000000,0,1
2,1368219404,0,0,0,0,0,0,0,0,0.142857,0.142857,1370000000,3810000000,305605.4286,0,1370000000,0,7
2,1368222813,0,0,0,0,0,0,0,0,2,0,1370000000,0,367527,11,1370000000,0,1
2,1368227787,1,0,0,0,0,0,0,0,2,2,1370000000,0,362553,0,1370000000,0,1
2,1368229343,0,0,0,0,0,0,0,0.3125,0.1875,0,1370000000,27200000000,182022.0625,2,1370000000,0,16
2,1368234965,0,0,0,0,0,0,0,0,5,0,1370000000,3220000000,308251.3333,0,1370000000,0,3
15,1368239076,0,0,0,0,0,0,0,0,0.777778,0.222222,1370000000,4340000000,275324.6667,9,1370000000,0,9
9,1368239605,0,0,1,0,0,0,0,0,0,2,1370000000,0,350735,0,1370000000,1,1
7,1368241546,0,0,1,1,0,0,0,0,0,0,1370000000,32700000,343079.5,0,1370000000,0,2
2,1368245033,0,0,0,1,1,0,0,0,1,0,1370000000,0,345307,2,1370000000,0,1
7,1368246859,0,0,1,1,0,0,0,0,0,0,1370000000,0,343481,-2,1370000000,0,1
9,1368251333,0,0,1,0,0,0,0,0,6,1,1370000000,0,339007,0,1370000000,0,1
15,1368300064,0,0,0,0,0,0,0,0,0,0,1370000000,0,290276,0,1370000000,0,1
12,1368300507,0,0,0,0,0,0,0,0,0,0,1370000000,0,289833,0,1370000000,0,1
2,1368303777,0,0,0,0,0,0,0,0,0,0,1370000000,11700000,283230,3,1370000000,0,3
2,1368306995,0,0,0,0,0,0,0,0,2.25,0,1370000000,121000000000,211890,0,1370000000,0,4
12,1368314218,0,0,0,0,0,0,0,0,0,0,1370000000,42700000000,210199.75,2,1370000000,0,4
7,1368357033,0,0,1,0,0,0,0,0,3.666667,0.333333,1370000000,19200000,227748,5,1370000000,1,3
16,1368362072,0,0,0,1,1,0,0,0,0.5,0,1370000000,32800000,222538,2,1370000000,0,2
9,1368366615,0,0,1,0,0,0,0,0,0,2,1370000000,0,223725,0,1370000000,1,1
12,1368371522,0,0,0,0,0,0,0,0,0,0,1370000000,0,218818,0,1370000000,0,1
18,1368380171,0,0,0,0,0,0,0,0,1,0,1370000000,0,210169,0,1370000000,1,1
