@relation WCR_correctFormat_20-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute v0 numeric
@attribute v1 numeric
@attribute v2 numeric
@attribute v3 numeric
@attribute v4 numeric
@attribute v5 numeric
@attribute v6 numeric
@attribute v7 numeric
@attribute v8 numeric
@attribute v9 numeric
@attribute v10 numeric
@attribute v11 numeric
@attribute v12 numeric
@attribute v13 numeric
@attribute v14 numeric
@attribute v15 numeric
@attribute v16 numeric
@attribute v17 {0,1}
@attribute v18 numeric

@data
13,1365546817,0,0,0,0,0,0,0,0,0.5,0.25,1370000000,46500000000,78097.75,6,1370000000,1,4
7,1363726734,0,0,1,0,0,0,0,0,2,0,1360000000,15900000000,194864,9,1360000000,0,3
13,1365429306,0,0,0,1,0,0,0,0,0.666667,0.111111,1370000000,54500000000,150601.7778,15,1370000000,0,9
15,1361927057,0,0,0,0,0,0,0,0,0,0,1360000000,18906.25,63458.5,0,1360000000,0,2
25,1363323660,0,0,0,0,0,0,0,0,0,0,1360000000,2700000000,167625.5,5,1360000000,0,4
14,1363793611,0,0,0,0,0,0,0,0.166667,0.5,0.333333,1360000000,63800000000,154015.3333,6,1360000000,0,6
13,1362010189,0,0,0,0,0,0,0,0,0.6,0.2,1360000000,20100000000,181770.2,8,1360000000,0,5
15,1362276404,0,0,0,0,0,0,0,0,0,0,1360000000,0,285751,0,1360000000,0,1
15,1361799707,0,0,0,0,0,0,0,0.25,0,0,1360000000,176000000,175799.25,1,1360000000,0,4
14,1362874404,0,0,0,0,0,0,0,1,0.428571,0,1360000000,26500000000,94957.57143,13,1360000000,0,7
15,1361861241,0,0,0,0,0,0,0,0,0,0,1360000000,0,129412,0,1360000000,0,1
14,1364881202,0,0,0,0,0,0,0,0,0,0,1360000000,0,166738,0,1360000000,0,1
14,1362999115,0,0,0,0,0,0,0,0,1,0,1360000000,0,61625,1,1360000000,0,1
13,1364414086,0,0,0,0,0,0,0,0,0.5,0,1360000000,6370000000,223541.5,1,1360000000,0,2
3,1364417003,0,0,1,0,0,0,0.085714,0.085714,0.885714,0.085714,1370000000,750000000000,252169.7429,30,1370000000,0,35
15,1361910561,0,0,0,0,0,0,0,0,0,0,1360000000,0,80092,0,1360000000,0,1
35,1366292320,0,0,0,0,0,0,0,0,8,1,1370000000,0,207580,-2,1370000000,1,1
13,1362022690,0,0,0,1,0,0,0,0,0.181818,0,1360000000,28500000000,109496,13,1360000000,0,11
13,1367267951,0,0,0,0,0,0,0,0,3,0,1370000000,0,199189,1,1370000000,0,1
14,1362291635,0,0,0,0,0,0,0,0.6,0.2,0,1360000000,225000000000,390486.6,9,1360000000,0,5
13,1361903424,0,0,0,0,0,0,0,0,0.3,0.2,1360000000,1280000000000,62269.3,12,1360000000,0,10
7,1365020102,0,0,1,0,0,0,0,0,2.5,0,1370000000,12432.25,27726.5,1,1370000000,0,2
15,1361827380,0,0,0,0,0,0,0,0,0,0,1360000000,0,163273,0,1360000000,0,1
14,1365972451,0,0,0,0,0,0,0,0.666667,0,0,1370000000,33400000000,298975.3333,7,1370000000,0,6
