@relation GHC_correctFormat_20-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute v0 numeric
@attribute v1 numeric
@attribute v2 numeric
@attribute v3 numeric
@attribute v4 numeric
@attribute v5 numeric
@attribute v6 numeric
@attribute v7 numeric
@attribute v8 numeric
@attribute v9 numeric
@attribute v10 numeric
@attribute v11 numeric
@attribute v12 numeric
@attribute v13 numeric
@attribute v14 numeric
@attribute v15 numeric
@attribute v16 numeric
@attribute v17 {0,1}
@attribute v18 numeric

@data
12,1366609448,0,0,0,0,0,0,0,0,0,0,1370000000,0,211939,0,1370000000,0,1
12,1367101502,0,0,0,0,0,0,0,0,0,0,1370000000,0,28131,0,1370000000,0,1
12,1367075715,0,0,0,0,0,0,0,0,0,0,1370000000,0,2344,0,1370000000,0,1
2,1368750217,0,0,0,0,0,0,0,0,0,0,1370000000,0,159877,0,1370000000,0,1
12,1367208817,0,0,0,0,0,0,0,0,0,0,1370000000,0,877,0,1370000000,0,1
15,1368027622,0,0,0,1,0,0,0,0,0.666667,0,1370000000,6820000000,292437,2,1370000000,0,3
12,1366776985,0,0,0,0,0,0,0,0,0,0,1370000000,11600000000,188689.5,0,1370000000,0,2
12,1366737561,0,0,0,1,0,0,0,0,0.142857,0,1370000000,3620000000,275193,2,1370000000,0,7
12,1366689284,0,0,0,0,0,0,0,0,0,0,1370000000,0,291775,0,1370000000,0,1
2,1366765291,0,0,0,0,0,0,0,0,0,1,1370000000,0,308079,0,1370000000,0,1
12,1366589797,0,0,0,0,0,0,0,0,0,0,1370000000,529000000000,211738.5,0,1370000000,0,2
13,1366638767,0,0,0,1,1,0,0.333333,1.333333,1,0,1370000000,441048.2222,242194.3333,1,1370000000,1,3
2,1371696703,0,0,0,1,0,0,0,0,1,0,1370000000,25300000,837016.75,0,1370000000,0,4
12,1366683377,0,0,0,0,0,0,0,0,0,0,1370000000,0,285868,0,1370000000,0,1
2,1367216700,0,0,0,0,0,0,0,0,0,0,1370000000,0,8760,0,1370000000,0,1
2,1369447310,0,0,0,0,0,0,0,0,0,0,1370000000,344000000000,214231,3,1370000000,0,2
12,1368065868,0,0,0,0,0,0,0,0,0,0,1370000000,368000000,272310,0,1370000000,0,2
13,1367088751,0,0,0,0,0,0,0,0.4,0.2,0,1370000000,18800000,18904.4,3,1370000000,0,5
2,1369825972,0,0,0,0,0,0,0,0,0,0,1370000000,3260000000,170094,13,1370000000,0,3
2,1366667436,0,0,0,0,0,0,0,0.392857,1.321429,0.035714,1370000000,220000000000,181264.75,77,1370000000,0,28
14,1367256118,0,0,0,0,0,0,0,0,0.833333,0,1370000000,43500000000,70059,3,1370000000,0,6
12,1366589805,0,0,0,0,0,0,0,0,0,0,1370000000,0,192296,0,1370000000,0,1
2,1370207455,0,0,0,0,0,0,0,0,0,0,1370000000,0,24485,0,1370000000,0,1
2,1369677901,0,0,0,0,0,0,0,0,0,0,1370000000,37400000,29527.5,0,1370000000,0,2
2,1367028837,0,0,0,0,0,0,0,0,0,1,1370000000,15100000000,31077.5,0,1370000000,0,2
12,1368088877,0,0,0,0,0,0,0,0,0,0,1370000000,0,276137,-1,1370000000,0,1
2,1367126122,0,0,0,1,0,0,0,0,0,0,1370000000,5110000000,31256.33333,0,1370000000,0,3
12,1368545286,0,0,0,0,0,0,0,0,0,0,1370000000,0,45054,1,1370000000,0,1
2,1368661294,0,0,0,0,0,0,0,0,1,0,1370000000,0,70954,0,1370000000,1,1
9,1367173038,0,0,1,0,0,0,0,0,0,2,1370000000,0,34902,0,1370000000,0,1
12,1366534686,0,0,0,0,0,0,0,0,0.6,0,1370000000,1190000000,189045.3,0,1370000000,0,10
12,1366782612,0,0,0,0,0,0,0,0,2,0,1370000000,0,290758,0,1370000000,0,1
