@relation WCR_80_upsampled-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute v0 numeric
@attribute v1 numeric
@attribute v2 numeric
@attribute v3 numeric
@attribute v4 numeric
@attribute v5 numeric
@attribute v6 numeric
@attribute v7 numeric
@attribute v8 numeric
@attribute v9 numeric
@attribute v10 numeric
@attribute v11 numeric
@attribute v12 numeric
@attribute v13 numeric
@attribute v14 numeric
@attribute v15 numeric
@attribute v16 numeric
@attribute v17 {0,1}
@attribute v18 numeric

@data
15,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,212000000000,64091,2,1360000000,0,3
14,1360000000,0,0,0,1,0,0,0,0,0.666667,0,1360000000,3267208.222,92721.33333,0,1360000000,0,3
14,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,0,102569,0,1360000000,0,1
13,1360000000,0,0,0,0,0,0,0,0.24,0.4,0,1360000000,146000000000,158391,18,1360000000,0,25
15,1360000000,0,0,0,0,0,0,0,0,1,0,1360000000,0,7801,0,1360000000,0,1
15,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,0,118797,1,1360000000,0,1
15,1360000000,0,0,0,0,0,0,0.166667,0.666667,1.666667,0,1360000000,111000000,45185,2,1360000000,0,6
15,1360000000,0,0,0,0,0,0,0,0,0.333333,0,1360000000,1280000000,57022.33333,1,1360000000,0,3
15,1360000000,0,0,0,0,0,0,0,0,0.5,0,1360000000,735306.25,152392.5,0,1360000000,0,2
13,1370000000,0,0,0,0,0,0,0,0,0.2,0.4,1370000000,122000000000,177188.2,11,1370000000,0,10
25,1360000000,0,0,0,0,0,0,0,0.4,0.6,0,1360000000,50600000000,210868.6,12,1360000000,0,5
14,1360000000,0,0,0,0,0,0,0,0.333333,0.166667,0,1360000000,42200000000,117325.5,11,1360000000,0,6
14,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,0,172673,0,1360000000,0,1
23,1360000000,0,0,0,0,0,0,0,0.333333,0,0,1360000000,2410000000,248041.8333,2,1360000000,0,6
14,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,3870000000,78649.66667,2,1360000000,0,3
34,1370000000,0,0,0,0,0,0,0,0.142857,0,0,1370000000,10400000000,73164.47619,43,1370000000,0,21
23,1360000000,0,0,0,0,0,0,0,0.333333,1,0,1360000000,200000000,255024.6667,2,1360000000,0,3
14,1360000000,0,0,0,0,0,0,0,0.038462,0,0,1360000000,1170000000000,112683.3462,1,1370000000,0,26
14,1360000000,0,0,0,0,0,0,0,0.5,0.5,0,1360000000,1210000000,146998,5,1360000000,0,4
23,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,0,122597,1,1360000000,0,1
13,1360000000,0,0,0,0,0,0,0,0,1,0,1360000000,1020000000,24208.66667,3,1360000000,0,3
13,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,5402.25,370577.5,0,1360000000,0,2
